,countyFIPS,County.Name,State,StateFIPS,date,date_with_x,Total_Cases
42,6081,San Mateo County ,CA,6,2020.01.22,X2020.01.22,5
43,6083,Santa Barbara County ,CA,6,2020.01.22,X2020.01.22,0
44,6085,Santa Clara County ,CA,6,2020.01.22,X2020.01.22,21
45,6087,Santa Cruz County ,CA,6,2020.01.22,X2020.01.22,1
46,6089,Shasta County ,CA,6,2020.01.22,X2020.01.22,0
47,6091,Sierra County ,CA,6,2020.01.22,X2020.01.22,1
48,6093,Siskiyou County ,CA,6,2020.01.22,X2020.01.22,0
49,6095,Solano County ,CA,6,2020.01.22,X2020.01.22,16
50,6097,Sonoma County ,CA,6,2020.01.22,X2020.01.22,10
51,6099,Stanislaus County ,CA,6,2020.01.22,X2020.01.22,16
52,6101,Sutter County ,CA,6,2020.01.22,X2020.01.22,7
53,6103,Tehama County ,CA,6,2020.01.22,X2020.01.22,0
54,6105,Trinity County ,CA,6,2020.01.22,X2020.01.22,0
55,6107,Tulare County ,CA,6,2020.01.22,X2020.01.22,7
56,6109,Tuolumne County ,CA,6,2020.01.22,X2020.01.22,0
57,6111,Ventura County ,CA,6,2020.01.22,X2020.01.22,7
58,6113,Yolo County ,CA,6,2020.01.22,X2020.01.22,3
59,6115,Yuba County ,CA,6,2020.01.22,X2020.01.22,2
60,0,Statewide Unallocated,CA,6,2020.01.23,X2020.01.23,0
61,6001,Alameda County ,CA,6,2020.01.23,X2020.01.23,4
62,6003,Alpine County ,CA,6,2020.01.23,X2020.01.23,0
63,6005,Amador County ,CA,6,2020.01.23,X2020.01.23,1
64,6007,Butte County ,CA,6,2020.01.23,X2020.01.23,0
65,6009,Calaveras County ,CA,6,2020.01.23,X2020.01.23,2
66,6011,Colusa County ,CA,6,2020.01.23,X2020.01.23,0
67,6013,Contra Costa County ,CA,6,2020.01.23,X2020.01.23,8
68,6015,Del Norte County ,CA,6,2020.01.23,X2020.01.23,0
69,6017,El Dorado County ,CA,6,2020.01.23,X2020.01.23,0
70,6019,Fresno County ,CA,6,2020.01.23,X2020.01.23,4
71,6021,Glenn County ,CA,6,2020.01.23,X2020.01.23,2
72,6023,Humboldt County ,CA,6,2020.01.23,X2020.01.23,3
73,6025,Imperial County ,CA,6,2020.01.23,X2020.01.23,5
74,6027,Inyo County ,CA,6,2020.01.23,X2020.01.23,0
75,6029,Kern County ,CA,6,2020.01.23,X2020.01.23,7
76,6031,Kings County ,CA,6,2020.01.23,X2020.01.23,14
77,6033,Lake County ,CA,6,2020.01.23,X2020.01.23,0
78,6035,Lassen County ,CA,6,2020.01.23,X2020.01.23,0
79,6037,Los Angeles County ,CA,6,2020.01.23,X2020.01.23,379
80,6039,Madera County ,CA,6,2020.01.23,X2020.01.23,3
81,6041,Marin County ,CA,6,2020.01.23,X2020.01.23,6
82,6043,Mariposa County ,CA,6,2020.01.23,X2020.01.23,0
83,6045,Mendocino County ,CA,6,2020.01.23,X2020.01.23,0
84,6047,Merced County ,CA,6,2020.01.23,X2020.01.23,3
85,6049,Modoc County ,CA,6,2020.01.23,X2020.01.23,0
86,6051,Mono County ,CA,6,2020.01.23,X2020.01.23,1
87,6053,Monterey County ,CA,6,2020.01.23,X2020.01.23,1
88,6055,Napa County ,CA,6,2020.01.23,X2020.01.23,1
89,6057,Nevada County ,CA,6,2020.01.23,X2020.01.23,4
90,6059,Orange County ,CA,6,2020.01.23,X2020.01.23,8
91,6061,Placer County ,CA,6,2020.01.23,X2020.01.23,3
92,6063,Plumas County ,CA,6,2020.01.23,X2020.01.23,0
93,6065,Riverside County ,CA,6,2020.01.23,X2020.01.23,60
94,6067,Sacramento County ,CA,6,2020.01.23,X2020.01.23,1
95,6069,San Benito County ,CA,6,2020.01.23,X2020.01.23,4
96,6071,San Bernardino County ,CA,6,2020.01.23,X2020.01.23,78
97,6073,San Diego County ,CA,6,2020.01.23,X2020.01.23,0
98,6075,City and County of San Francisco,CA,6,2020.01.23,X2020.01.23,11
99,6077,San Joaquin County ,CA,6,2020.01.23,X2020.01.23,7
100,6079,San Luis Obispo County ,CA,6,2020.01.23,X2020.01.23,15
101,6081,San Mateo County ,CA,6,2020.01.23,X2020.01.23,5
102,6083,Santa Barbara County ,CA,6,2020.01.23,X2020.01.23,0
103,6085,Santa Clara County ,CA,6,2020.01.23,X2020.01.23,22
104,6087,Santa Cruz County ,CA,6,2020.01.23,X2020.01.23,1
105,6089,Shasta County ,CA,6,2020.01.23,X2020.01.23,0
106,6091,Sierra County ,CA,6,2020.01.23,X2020.01.23,1
107,6093,Siskiyou County ,CA,6,2020.01.23,X2020.01.23,0
108,6095,Solano County ,CA,6,2020.01.23,X2020.01.23,17
109,6097,Sonoma County ,CA,6,2020.01.23,X2020.01.23,10
110,6099,Stanislaus County ,CA,6,2020.01.23,X2020.01.23,16
111,6101,Sutter County ,CA,6,2020.01.23,X2020.01.23,7
112,6103,Tehama County ,CA,6,2020.01.23,X2020.01.23,0
113,6105,Trinity County ,CA,6,2020.01.23,X2020.01.23,0
114,6107,Tulare County ,CA,6,2020.01.23,X2020.01.23,7
115,6109,Tuolumne County ,CA,6,2020.01.23,X2020.01.23,0
116,6111,Ventura County ,CA,6,2020.01.23,X2020.01.23,7
117,6113,Yolo County ,CA,6,2020.01.23,X2020.01.23,3
118,6115,Yuba County ,CA,6,2020.01.23,X2020.01.23,2
119,0,Statewide Unallocated,CA,6,2020.01.24,X2020.01.24,0
120,6001,Alameda County ,CA,6,2020.01.24,X2020.01.24,4
121,6003,Alpine County ,CA,6,2020.01.24,X2020.01.24,0
122,6005,Amador County ,CA,6,2020.01.24,X2020.01.24,1
123,6007,Butte County ,CA,6,2020.01.24,X2020.01.24,0
124,6009,Calaveras County ,CA,6,2020.01.24,X2020.01.24,2
125,6011,Colusa County ,CA,6,2020.01.24,X2020.01.24,0
126,6013,Contra Costa County ,CA,6,2020.01.24,X2020.01.24,8
127,6015,Del Norte County ,CA,6,2020.01.24,X2020.01.24,0
128,6017,El Dorado County ,CA,6,2020.01.24,X2020.01.24,0
129,6019,Fresno County ,CA,6,2020.01.24,X2020.01.24,4
130,6021,Glenn County ,CA,6,2020.01.24,X2020.01.24,2
131,6023,Humboldt County ,CA,6,2020.01.24,X2020.01.24,3
132,6025,Imperial County ,CA,6,2020.01.24,X2020.01.24,5
133,6027,Inyo County ,CA,6,2020.01.24,X2020.01.24,0
134,6029,Kern County ,CA,6,2020.01.24,X2020.01.24,7
135,6031,Kings County ,CA,6,2020.01.24,X2020.01.24,14
136,6033,Lake County ,CA,6,2020.01.24,X2020.01.24,0
137,6035,Lassen County ,CA,6,2020.01.24,X2020.01.24,0
138,6037,Los Angeles County ,CA,6,2020.01.24,X2020.01.24,382
139,6039,Madera County ,CA,6,2020.01.24,X2020.01.24,3
140,6041,Marin County ,CA,6,2020.01.24,X2020.01.24,6
141,6043,Mariposa County ,CA,6,2020.01.24,X2020.01.24,0
142,6045,Mendocino County ,CA,6,2020.01.24,X2020.01.24,0
143,6047,Merced County ,CA,6,2020.01.24,X2020.01.24,3
144,6049,Modoc County ,CA,6,2020.01.24,X2020.01.24,0
145,6051,Mono County ,CA,6,2020.01.24,X2020.01.24,1
146,6053,Monterey County ,CA,6,2020.01.24,X2020.01.24,1
147,6055,Napa County ,CA,6,2020.01.24,X2020.01.24,1
148,6057,Nevada County ,CA,6,2020.01.24,X2020.01.24,4
149,6059,Orange County ,CA,6,2020.01.24,X2020.01.24,9
150,6061,Placer County ,CA,6,2020.01.24,X2020.01.24,3
151,6063,Plumas County ,CA,6,2020.01.24,X2020.01.24,0
152,6065,Riverside County ,CA,6,2020.01.24,X2020.01.24,60
153,6067,Sacramento County ,CA,6,2020.01.24,X2020.01.24,1
154,6069,San Benito County ,CA,6,2020.01.24,X2020.01.24,4
155,6071,San Bernardino County ,CA,6,2020.01.24,X2020.01.24,78
156,6073,San Diego County ,CA,6,2020.01.24,X2020.01.24,0
157,6075,City and County of San Francisco,CA,6,2020.01.24,X2020.01.24,11
158,6077,San Joaquin County ,CA,6,2020.01.24,X2020.01.24,7
159,6079,San Luis Obispo County ,CA,6,2020.01.24,X2020.01.24,15
160,6081,San Mateo County ,CA,6,2020.01.24,X2020.01.24,5
161,6083,Santa Barbara County ,CA,6,2020.01.24,X2020.01.24,0
162,6085,Santa Clara County ,CA,6,2020.01.24,X2020.01.24,24
163,6087,Santa Cruz County ,CA,6,2020.01.24,X2020.01.24,1
164,6089,Shasta County ,CA,6,2020.01.24,X2020.01.24,0
165,6091,Sierra County ,CA,6,2020.01.24,X2020.01.24,1
166,6093,Siskiyou County ,CA,6,2020.01.24,X2020.01.24,0
167,6095,Solano County ,CA,6,2020.01.24,X2020.01.24,17
168,6097,Sonoma County ,CA,6,2020.01.24,X2020.01.24,10
169,6099,Stanislaus County ,CA,6,2020.01.24,X2020.01.24,16
170,6101,Sutter County ,CA,6,2020.01.24,X2020.01.24,7
171,6103,Tehama County ,CA,6,2020.01.24,X2020.01.24,0
172,6105,Trinity County ,CA,6,2020.01.24,X2020.01.24,0
173,6107,Tulare County ,CA,6,2020.01.24,X2020.01.24,7
174,6109,Tuolumne County ,CA,6,2020.01.24,X2020.01.24,0
175,6111,Ventura County ,CA,6,2020.01.24,X2020.01.24,7
176,6113,Yolo County ,CA,6,2020.01.24,X2020.01.24,3
177,6115,Yuba County ,CA,6,2020.01.24,X2020.01.24,2
178,0,Statewide Unallocated,CA,6,2020.01.25,X2020.01.25,0
179,6001,Alameda County ,CA,6,2020.01.25,X2020.01.25,5
180,6003,Alpine County ,CA,6,2020.01.25,X2020.01.25,0
181,6005,Amador County ,CA,6,2020.01.25,X2020.01.25,1
182,6007,Butte County ,CA,6,2020.01.25,X2020.01.25,0
183,6009,Calaveras County ,CA,6,2020.01.25,X2020.01.25,2
184,6011,Colusa County ,CA,6,2020.01.25,X2020.01.25,0
185,6013,Contra Costa County ,CA,6,2020.01.25,X2020.01.25,8
186,6015,Del Norte County ,CA,6,2020.01.25,X2020.01.25,0
187,6017,El Dorado County ,CA,6,2020.01.25,X2020.01.25,0
188,6019,Fresno County ,CA,6,2020.01.25,X2020.01.25,4
189,6021,Glenn County ,CA,6,2020.01.25,X2020.01.25,2
190,6023,Humboldt County ,CA,6,2020.01.25,X2020.01.25,3
191,6025,Imperial County ,CA,6,2020.01.25,X2020.01.25,5
192,6027,Inyo County ,CA,6,2020.01.25,X2020.01.25,0
193,6029,Kern County ,CA,6,2020.01.25,X2020.01.25,7
194,6031,Kings County ,CA,6,2020.01.25,X2020.01.25,14
195,6033,Lake County ,CA,6,2020.01.25,X2020.01.25,0
196,6035,Lassen County ,CA,6,2020.01.25,X2020.01.25,0
197,6037,Los Angeles County ,CA,6,2020.01.25,X2020.01.25,384
198,6039,Madera County ,CA,6,2020.01.25,X2020.01.25,3
199,6041,Marin County ,CA,6,2020.01.25,X2020.01.25,6
200,6043,Mariposa County ,CA,6,2020.01.25,X2020.01.25,0
201,6045,Mendocino County ,CA,6,2020.01.25,X2020.01.25,0
202,6047,Merced County ,CA,6,2020.01.25,X2020.01.25,3
203,6049,Modoc County ,CA,6,2020.01.25,X2020.01.25,0
204,6051,Mono County ,CA,6,2020.01.25,X2020.01.25,1
205,6053,Monterey County ,CA,6,2020.01.25,X2020.01.25,1
206,6055,Napa County ,CA,6,2020.01.25,X2020.01.25,1
207,6057,Nevada County ,CA,6,2020.01.25,X2020.01.25,4
208,6059,Orange County ,CA,6,2020.01.25,X2020.01.25,9
209,6061,Placer County ,CA,6,2020.01.25,X2020.01.25,3
210,6063,Plumas County ,CA,6,2020.01.25,X2020.01.25,0
211,6065,Riverside County ,CA,6,2020.01.25,X2020.01.25,60
212,6067,Sacramento County ,CA,6,2020.01.25,X2020.01.25,1
213,6069,San Benito County ,CA,6,2020.01.25,X2020.01.25,5
214,6071,San Bernardino County ,CA,6,2020.01.25,X2020.01.25,80
215,6073,San Diego County ,CA,6,2020.01.25,X2020.01.25,0
216,6075,City and County of San Francisco,CA,6,2020.01.25,X2020.01.25,11
217,6077,San Joaquin County ,CA,6,2020.01.25,X2020.01.25,7
218,6079,San Luis Obispo County ,CA,6,2020.01.25,X2020.01.25,15
219,6081,San Mateo County ,CA,6,2020.01.25,X2020.01.25,5
220,6083,Santa Barbara County ,CA,6,2020.01.25,X2020.01.25,0
221,6085,Santa Clara County ,CA,6,2020.01.25,X2020.01.25,24
222,6087,Santa Cruz County ,CA,6,2020.01.25,X2020.01.25,1
223,6089,Shasta County ,CA,6,2020.01.25,X2020.01.25,0
224,6091,Sierra County ,CA,6,2020.01.25,X2020.01.25,1
225,6093,Siskiyou County ,CA,6,2020.01.25,X2020.01.25,0
226,6095,Solano County ,CA,6,2020.01.25,X2020.01.25,18
227,6097,Sonoma County ,CA,6,2020.01.25,X2020.01.25,11
228,6099,Stanislaus County ,CA,6,2020.01.25,X2020.01.25,18
229,6101,Sutter County ,CA,6,2020.01.25,X2020.01.25,7
230,6103,Tehama County ,CA,6,2020.01.25,X2020.01.25,0
231,6105,Trinity County ,CA,6,2020.01.25,X2020.01.25,0
232,6107,Tulare County ,CA,6,2020.01.25,X2020.01.25,7
233,6109,Tuolumne County ,CA,6,2020.01.25,X2020.01.25,0
234,6111,Ventura County ,CA,6,2020.01.25,X2020.01.25,7
235,6113,Yolo County ,CA,6,2020.01.25,X2020.01.25,3
236,6115,Yuba County ,CA,6,2020.01.25,X2020.01.25,2
237,0,Statewide Unallocated,CA,6,2020.01.26,X2020.01.26,0
238,6001,Alameda County ,CA,6,2020.01.26,X2020.01.26,5
239,6003,Alpine County ,CA,6,2020.01.26,X2020.01.26,0
240,6005,Amador County ,CA,6,2020.01.26,X2020.01.26,1
241,6007,Butte County ,CA,6,2020.01.26,X2020.01.26,0
242,6009,Calaveras County ,CA,6,2020.01.26,X2020.01.26,2
243,6011,Colusa County ,CA,6,2020.01.26,X2020.01.26,0
244,6013,Contra Costa County ,CA,6,2020.01.26,X2020.01.26,8
245,6015,Del Norte County ,CA,6,2020.01.26,X2020.01.26,0
246,6017,El Dorado County ,CA,6,2020.01.26,X2020.01.26,0
247,6019,Fresno County ,CA,6,2020.01.26,X2020.01.26,5
248,6021,Glenn County ,CA,6,2020.01.26,X2020.01.26,3
249,6023,Humboldt County ,CA,6,2020.01.26,X2020.01.26,4
250,6025,Imperial County ,CA,6,2020.01.26,X2020.01.26,5
251,6027,Inyo County ,CA,6,2020.01.26,X2020.01.26,0
252,6029,Kern County ,CA,6,2020.01.26,X2020.01.26,7
253,6031,Kings County ,CA,6,2020.01.26,X2020.01.26,14
254,6033,Lake County ,CA,6,2020.01.26,X2020.01.26,0
255,6035,Lassen County ,CA,6,2020.01.26,X2020.01.26,0
256,6037,Los Angeles County ,CA,6,2020.01.26,X2020.01.26,385
257,6039,Madera County ,CA,6,2020.01.26,X2020.01.26,3
258,6041,Marin County ,CA,6,2020.01.26,X2020.01.26,6
259,6043,Mariposa County ,CA,6,2020.01.26,X2020.01.26,0
260,6045,Mendocino County ,CA,6,2020.01.26,X2020.01.26,0
261,6047,Merced County ,CA,6,2020.01.26,X2020.01.26,3
262,6049,Modoc County ,CA,6,2020.01.26,X2020.01.26,0
263,6051,Mono County ,CA,6,2020.01.26,X2020.01.26,1
264,6053,Monterey County ,CA,6,2020.01.26,X2020.01.26,1
265,6055,Napa County ,CA,6,2020.01.26,X2020.01.26,2
266,6057,Nevada County ,CA,6,2020.01.26,X2020.01.26,4
267,6059,Orange County ,CA,6,2020.01.26,X2020.01.26,9
268,6061,Placer County ,CA,6,2020.01.26,X2020.01.26,3
269,6063,Plumas County ,CA,6,2020.01.26,X2020.01.26,0
270,6065,Riverside County ,CA,6,2020.01.26,X2020.01.26,60
271,6067,Sacramento County ,CA,6,2020.01.26,X2020.01.26,1
272,6069,San Benito County ,CA,6,2020.01.26,X2020.01.26,5
273,6071,San Bernardino County ,CA,6,2020.01.26,X2020.01.26,81
274,6073,San Diego County ,CA,6,2020.01.26,X2020.01.26,0
275,6075,City and County of San Francisco,CA,6,2020.01.26,X2020.01.26,11
276,6077,San Joaquin County ,CA,6,2020.01.26,X2020.01.26,7
277,6079,San Luis Obispo County ,CA,6,2020.01.26,X2020.01.26,15
278,6081,San Mateo County ,CA,6,2020.01.26,X2020.01.26,5
279,6083,Santa Barbara County ,CA,6,2020.01.26,X2020.01.26,0
280,6085,Santa Clara County ,CA,6,2020.01.26,X2020.01.26,24
281,6087,Santa Cruz County ,CA,6,2020.01.26,X2020.01.26,1
282,6089,Shasta County ,CA,6,2020.01.26,X2020.01.26,0
283,6091,Sierra County ,CA,6,2020.01.26,X2020.01.26,1
284,6093,Siskiyou County ,CA,6,2020.01.26,X2020.01.26,0
285,6095,Solano County ,CA,6,2020.01.26,X2020.01.26,18
286,6097,Sonoma County ,CA,6,2020.01.26,X2020.01.26,11
287,6099,Stanislaus County ,CA,6,2020.01.26,X2020.01.26,18
288,6101,Sutter County ,CA,6,2020.01.26,X2020.01.26,7
289,6103,Tehama County ,CA,6,2020.01.26,X2020.01.26,0
290,6105,Trinity County ,CA,6,2020.01.26,X2020.01.26,0
291,6107,Tulare County ,CA,6,2020.01.26,X2020.01.26,7
292,6109,Tuolumne County ,CA,6,2020.01.26,X2020.01.26,0
293,6111,Ventura County ,CA,6,2020.01.26,X2020.01.26,8
294,6113,Yolo County ,CA,6,2020.01.26,X2020.01.26,3
295,6115,Yuba County ,CA,6,2020.01.26,X2020.01.26,2
296,0,Statewide Unallocated,CA,6,2020.01.27,X2020.01.27,0
297,6001,Alameda County ,CA,6,2020.01.27,X2020.01.27,5
298,6003,Alpine County ,CA,6,2020.01.27,X2020.01.27,0
299,6005,Amador County ,CA,6,2020.01.27,X2020.01.27,1
300,6007,Butte County ,CA,6,2020.01.27,X2020.01.27,0
301,6009,Calaveras County ,CA,6,2020.01.27,X2020.01.27,2
302,6011,Colusa County ,CA,6,2020.01.27,X2020.01.27,0
303,6013,Contra Costa County ,CA,6,2020.01.27,X2020.01.27,8
304,6015,Del Norte County ,CA,6,2020.01.27,X2020.01.27,0
305,6017,El Dorado County ,CA,6,2020.01.27,X2020.01.27,0
306,6019,Fresno County ,CA,6,2020.01.27,X2020.01.27,5
307,6021,Glenn County ,CA,6,2020.01.27,X2020.01.27,3
308,6023,Humboldt County ,CA,6,2020.01.27,X2020.01.27,4
309,6025,Imperial County ,CA,6,2020.01.27,X2020.01.27,5
310,6027,Inyo County ,CA,6,2020.01.27,X2020.01.27,0
311,6029,Kern County ,CA,6,2020.01.27,X2020.01.27,7
312,6031,Kings County ,CA,6,2020.01.27,X2020.01.27,14
313,6033,Lake County ,CA,6,2020.01.27,X2020.01.27,0
314,6035,Lassen County ,CA,6,2020.01.27,X2020.01.27,0
315,6037,Los Angeles County ,CA,6,2020.01.27,X2020.01.27,388
316,6039,Madera County ,CA,6,2020.01.27,X2020.01.27,3
317,6041,Marin County ,CA,6,2020.01.27,X2020.01.27,6
318,6043,Mariposa County ,CA,6,2020.01.27,X2020.01.27,0
319,6045,Mendocino County ,CA,6,2020.01.27,X2020.01.27,0
320,6047,Merced County ,CA,6,2020.01.27,X2020.01.27,3
321,6049,Modoc County ,CA,6,2020.01.27,X2020.01.27,0
322,6051,Mono County ,CA,6,2020.01.27,X2020.01.27,1
323,6053,Monterey County ,CA,6,2020.01.27,X2020.01.27,1
324,6055,Napa County ,CA,6,2020.01.27,X2020.01.27,2
325,6057,Nevada County ,CA,6,2020.01.27,X2020.01.27,4
326,6059,Orange County ,CA,6,2020.01.27,X2020.01.27,9
327,6061,Placer County ,CA,6,2020.01.27,X2020.01.27,3
328,6063,Plumas County ,CA,6,2020.01.27,X2020.01.27,0
329,6065,Riverside County ,CA,6,2020.01.27,X2020.01.27,61
330,6067,Sacramento County ,CA,6,2020.01.27,X2020.01.27,2
331,6069,San Benito County ,CA,6,2020.01.27,X2020.01.27,5
332,6071,San Bernardino County ,CA,6,2020.01.27,X2020.01.27,83
333,6073,San Diego County ,CA,6,2020.01.27,X2020.01.27,0
334,6075,City and County of San Francisco,CA,6,2020.01.27,X2020.01.27,11
335,6077,San Joaquin County ,CA,6,2020.01.27,X2020.01.27,7
336,6079,San Luis Obispo County ,CA,6,2020.01.27,X2020.01.27,16
337,6081,San Mateo County ,CA,6,2020.01.27,X2020.01.27,5
338,6083,Santa Barbara County ,CA,6,2020.01.27,X2020.01.27,0
339,6085,Santa Clara County ,CA,6,2020.01.27,X2020.01.27,25
340,6087,Santa Cruz County ,CA,6,2020.01.27,X2020.01.27,1
341,6089,Shasta County ,CA,6,2020.01.27,X2020.01.27,0
342,6091,Sierra County ,CA,6,2020.01.27,X2020.01.27,1
343,6093,Siskiyou County ,CA,6,2020.01.27,X2020.01.27,0
344,6095,Solano County ,CA,6,2020.01.27,X2020.01.27,19
345,6097,Sonoma County ,CA,6,2020.01.27,X2020.01.27,11
346,6099,Stanislaus County ,CA,6,2020.01.27,X2020.01.27,18
347,6101,Sutter County ,CA,6,2020.01.27,X2020.01.27,7
348,6103,Tehama County ,CA,6,2020.01.27,X2020.01.27,0
349,6105,Trinity County ,CA,6,2020.01.27,X2020.01.27,0
350,6107,Tulare County ,CA,6,2020.01.27,X2020.01.27,7
351,6109,Tuolumne County ,CA,6,2020.01.27,X2020.01.27,0
352,6111,Ventura County ,CA,6,2020.01.27,X2020.01.27,8
353,6113,Yolo County ,CA,6,2020.01.27,X2020.01.27,3
354,6115,Yuba County ,CA,6,2020.01.27,X2020.01.27,2
355,0,Statewide Unallocated,CA,6,2020.01.28,X2020.01.28,0
356,6001,Alameda County ,CA,6,2020.01.28,X2020.01.28,5
357,6003,Alpine County ,CA,6,2020.01.28,X2020.01.28,0
358,6005,Amador County ,CA,6,2020.01.28,X2020.01.28,1
359,6007,Butte County ,CA,6,2020.01.28,X2020.01.28,0
360,6009,Calaveras County ,CA,6,2020.01.28,X2020.01.28,2
361,6011,Colusa County ,CA,6,2020.01.28,X2020.01.28,0
362,6013,Contra Costa County ,CA,6,2020.01.28,X2020.01.28,8
363,6015,Del Norte County ,CA,6,2020.01.28,X2020.01.28,0
364,6017,El Dorado County ,CA,6,2020.01.28,X2020.01.28,0
365,6019,Fresno County ,CA,6,2020.01.28,X2020.01.28,5
366,6021,Glenn County ,CA,6,2020.01.28,X2020.01.28,3
367,6023,Humboldt County ,CA,6,2020.01.28,X2020.01.28,4
368,6025,Imperial County ,CA,6,2020.01.28,X2020.01.28,5
369,6027,Inyo County ,CA,6,2020.01.28,X2020.01.28,0
370,6029,Kern County ,CA,6,2020.01.28,X2020.01.28,7
371,6031,Kings County ,CA,6,2020.01.28,X2020.01.28,14
372,6033,Lake County ,CA,6,2020.01.28,X2020.01.28,0
373,6035,Lassen County ,CA,6,2020.01.28,X2020.01.28,0
374,6037,Los Angeles County ,CA,6,2020.01.28,X2020.01.28,390
375,6039,Madera County ,CA,6,2020.01.28,X2020.01.28,3
376,6041,Marin County ,CA,6,2020.01.28,X2020.01.28,6
377,6043,Mariposa County ,CA,6,2020.01.28,X2020.01.28,0
378,6045,Mendocino County ,CA,6,2020.01.28,X2020.01.28,0
379,6047,Merced County ,CA,6,2020.01.28,X2020.01.28,3
380,6049,Modoc County ,CA,6,2020.01.28,X2020.01.28,0
381,6051,Mono County ,CA,6,2020.01.28,X2020.01.28,1
382,6053,Monterey County ,CA,6,2020.01.28,X2020.01.28,1
383,6055,Napa County ,CA,6,2020.01.28,X2020.01.28,2
384,6057,Nevada County ,CA,6,2020.01.28,X2020.01.28,4
385,6059,Orange County ,CA,6,2020.01.28,X2020.01.28,9
386,6061,Placer County ,CA,6,2020.01.28,X2020.01.28,3
387,6063,Plumas County ,CA,6,2020.01.28,X2020.01.28,0
388,6065,Riverside County ,CA,6,2020.01.28,X2020.01.28,61
389,6067,Sacramento County ,CA,6,2020.01.28,X2020.01.28,2
390,6069,San Benito County ,CA,6,2020.01.28,X2020.01.28,6
391,6071,San Bernardino County ,CA,6,2020.01.28,X2020.01.28,84
392,6073,San Diego County ,CA,6,2020.01.28,X2020.01.28,0
393,6075,City and County of San Francisco,CA,6,2020.01.28,X2020.01.28,12
394,6077,San Joaquin County ,CA,6,2020.01.28,X2020.01.28,7
395,6079,San Luis Obispo County ,CA,6,2020.01.28,X2020.01.28,16
396,6081,San Mateo County ,CA,6,2020.01.28,X2020.01.28,5
397,6083,Santa Barbara County ,CA,6,2020.01.28,X2020.01.28,0
398,6085,Santa Clara County ,CA,6,2020.01.28,X2020.01.28,25
399,6087,Santa Cruz County ,CA,6,2020.01.28,X2020.01.28,1
400,6089,Shasta County ,CA,6,2020.01.28,X2020.01.28,0
401,6091,Sierra County ,CA,6,2020.01.28,X2020.01.28,1
402,6093,Siskiyou County ,CA,6,2020.01.28,X2020.01.28,0
403,6095,Solano County ,CA,6,2020.01.28,X2020.01.28,19
404,6097,Sonoma County ,CA,6,2020.01.28,X2020.01.28,11
